index,Publishing Year,Book_average_rating,Book_ratings_count,gross sales,publisher revenue,sale price,sales rank,units sold,Popularitas_Buku
0,1975.0,3.42,155903,3161.19625,1802.9512499999998,4.88,1,7000.0,0
1,1987.0,4.23,145267,3161.19625,1802.9512499999998,1.99,2,6250.0,1
2,2015.0,3.31,138669,3161.19625,1802.9512499999998,8.69,3,5500.0,0
3,2008.0,4.04,150898,3161.19625,1802.9512499999998,7.5,3,5500.0,1
4,2011.0,4.04,198283,3161.19625,1802.9512499999998,7.99,4,4750.0,1
5,2015.0,4.08,83354,3161.19625,0.0,4.99,5,4000.0,1
6,2011.0,4.03,155977,3161.19625,1802.9512499999998,6.99,6,3933.0,1
7,1994.0,3.9,167997,3161.19625,1802.9512499999998,6.89,8,3800.0,1
8,2012.0,4.34,189938,3161.19625,1802.9512499999998,6.99,9,3733.0,1
9,1947.5,4.2,199872,3161.19625,1802.9512499999998,6.49,10,3666.0,1
10,2004.0,4.13,179415,3161.19625,0.0,4.99,11,3600.0,1
11,1954.0,3.9,189671,3161.19625,1802.9512499999998,5.99,11,3600.0,1
12,2010.0,4.42,206792,3161.19625,0.0,0.99,13,3466.0,1
13,1947.5,4.18,195424,3161.19625,1802.9512499999998,1.99,13,3466.0,1
14,1947.5,4.29,173469,3161.19625,1802.9512499999998,6.54,15,3333.0,1
15,1974.0,3.76,139411,3161.19625,0.0,4.99,16,3266.0,1
16,1947.5,3.8,159752,3161.19625,0.0,4.99,17,3200.0,1
17,2006.0,3.9,156328,3161.19625,0.0,4.99,17,3200.0,1
18,1948.0,4.28,160860,3161.19625,1802.9512499999998,1.99,18,3133.0,1
19,2006.0,4.17,133271,3035.34,0.0,0.99,19,3066.0,1
20,2013.0,3.74,138454,3161.19625,0.0,3.99,21,2933.0,1
21,2000.0,4.1,142092,3161.19625,0.0,2.99,22,2866.0,1
22,1991.0,3.87,153821,2772.0,0.0,0.99,23,2800.0,1
23,1993.0,4.38,157395,3161.19625,0.0,2.99,24,2733.0,1
24,1996.0,4.12,156869,2639.34,1583.604,0.99,25,2666.0,1
25,1981.0,3.65,158215,3161.19625,0.0,2.99,26,2600.0,1
26,1993.0,3.83,159249,3161.19625,1802.9512499999998,10.91,28,2466.0,1
27,2004.0,4.13,199572,2376.0,0.0,0.99,29,2400.0,1
28,1947.5,3.77,171599,3161.19625,1802.9512499999998,3.99,29,2400.0,1
29,1947.5,3.64,158877,3161.19625,0.0,3.99,30,2333.0,1
30,1961.0,4.22,178432,3161.19625,0.0,1.99,31,2266.0,1
31,2010.0,4.64,144822,2178.0,0.0,0.99,32,2200.0,1
32,2003.0,4.03,181323,3161.19625,1802.9512499999998,5.99,32,2200.0,1
33,2006.0,4.14,161001,2045.34,1227.204,0.99,34,2066.0,1
34,2007.0,4.35,150736,3161.19625,1802.9512499999998,8.99,35,2000.0,1
35,2015.0,3.7,99342,1964.16,0.0,0.99,36,1984.0,1
36,2011.0,4.07,140076,1964.16,1178.496,0.99,36,1984.0,1
37,1986.0,4.25,135979,1949.31,0.0,0.99,37,1969.0,1
38,2005.0,4.08,172302,1949.31,0.0,0.99,37,1969.0,1
39,1995.0,3.94,134849,3161.19625,1802.9512499999998,10.65,41,1907.0,1
40,2003.0,4.14,136427,1873.08,0.0,0.99,42,1892.0,1
41,2003.0,4.0,151500,3161.19625,0.0,3.99,43,1876.0,1
42,1998.0,3.52,113915,3161.19625,1802.9512499999998,1.99,44,1861.0,1
43,2000.0,4.0,134177,3161.19625,1802.9512499999998,5.99,45,1846.0,1
44,1999.0,3.83,148563,3161.19625,1802.9512499999998,6.99,46,1830.0,1
45,1947.5,3.76,151471,3161.19625,0.0,4.99,48,1800.0,1
46,1975.0,3.85,174280,3161.19625,1802.9512499999998,1.99,48,1800.0,1
47,1983.0,3.72,151160,1766.16,1059.696,0.99,49,1784.0,1
48,1960.0,4.16,174204,3161.19625,1802.9512499999998,5.99,50,1769.0,1
49,1950.0,3.83,164708,3161.19625,1802.9512499999998,8.59,51,1753.0,1
50,2013.0,4.3,193766,1720.62,1032.372,0.99,52,1738.0,1
51,1997.0,3.95,153764,1705.77,1023.462,0.99,53,1723.0,1
52,2011.0,4.16,190722,3161.19625,0.0,4.99,54,1707.0,1
53,2009.0,3.47,147908,1675.08,1005.048,0.99,55,1692.0,0
54,2004.0,4.42,139501,3161.19625,0.0,3.99,56,1676.0,1
55,2003.0,3.79,173613,3161.19625,1802.9512499999998,2.99,57,1661.0,1
56,2002.0,3.9,131492,1629.54,977.724,0.99,58,1646.0,1
57,1986.0,4.09,142168,3161.19625,1802.9512499999998,10.91,59,1630.0,1
58,2012.0,4.11,133937,1613.7,0.0,0.99,59,1630.0,1
59,1947.5,3.96,150512,3161.19625,1802.9512499999998,11.39,60,1615.0,1
60,2007.0,4.11,160607,3161.19625,1802.9512499999998,6.49,61,1600.0,1
61,1967.0,4.32,131389,3161.19625,0.0,3.99,62,1584.0,1
62,1968.0,3.99,155042,3161.19625,0.0,3.0,63,1569.0,1
63,2000.0,4.0,154476,1522.62,0.0,0.99,65,1538.0,1
64,1959.0,3.56,155901,3161.19625,0.0,3.89,66,1523.0,1
65,1995.0,3.91,137412,3161.19625,0.0,7.99,67,1507.0,1
66,1947.5,3.85,134931,3161.19625,1802.9512499999998,8.99,68,1492.0,1
67,1995.0,4.14,132777,2907.39,0.0,1.99,70,1461.0,1
68,1980.0,4.22,153838,3161.19625,1802.9512499999998,7.99,71,1446.0,1
69,2010.0,3.89,174393,3161.19625,0.0,3.99,72,1430.0,1
70,1947.5,4.17,162373,3161.19625,1802.9512499999998,6.99,73,1415.0,1
71,1953.0,3.95,170453,3161.19625,1802.9512499999998,3.79,75,1384.0,1
72,2008.0,4.46,143622,3161.19625,1802.9512499999998,4.21,75,1384.0,1
73,1993.0,3.9,145161,2724.31,1634.586,1.99,76,1369.0,1
74,2007.0,3.85,127096,3161.19625,1802.9512499999998,3.99,76,1369.0,1
75,1970.0,3.8,133728,3161.19625,0.0,4.99,77,1353.0,1
76,2014.0,4.48,177796,3161.19625,0.0,4.99,78,1338.0,1
77,1986.0,4.34,159703,1309.77,785.862,0.99,79,1323.0,1
78,2006.0,3.64,144591,3161.19625,1802.9512499999998,4.54,80,1307.0,1
79,2013.0,4.32,113565,3161.19625,1802.9512499999998,6.49,80,1307.0,1
80,1977.0,3.87,134106,3161.19625,1802.9512499999998,4.99,81,1292.0,1
81,1987.0,4.23,139052,2539.24,1523.544,1.99,82,1276.0,1
82,2008.0,4.12,138377,3161.19625,0.0,3.99,85,1230.0,1
83,1947.5,3.98,131856,1202.85,0.0,0.99,86,1215.0,1
84,2002.0,4.03,151829,2417.85,1450.71,1.99,86,1215.0,1
85,2000.0,3.97,128406,1188.0,0.0,0.99,87,1200.0,1
86,2010.0,3.7,127186,2388.0,0.0,1.99,87,1200.0,1
87,1947.5,4.09,154517,2356.16,1413.696,1.99,88,1184.0,1
88,2011.0,4.08,136950,1157.31,694.386,0.99,89,1169.0,1
89,1982.0,4.12,157736,1157.31,694.386,0.99,89,1169.0,1
90,1970.0,3.89,151789,1111.77,0.0,0.99,92,1123.0,1
91,2002.0,3.82,129807,3161.19625,1802.9512499999998,4.99,92,1123.0,1
92,2014.0,3.92,125847,2202.93,1321.758,1.99,93,1107.0,1
93,2007.0,4.05,162689,3161.19625,1802.9512499999998,6.49,95,1076.0,1
94,1997.0,3.97,133155,3161.19625,1802.9512499999998,6.49,96,1061.0,1
95,1985.0,4.29,168001,1035.54,621.324,0.99,97,1046.0,1
96,1989.0,4.29,141945,1019.7,0.0,0.99,98,1030.0,1
97,1987.0,4.11,141674,3161.19625,0.0,5.99,99,1015.0,1
98,1998.0,3.69,111856,3161.19625,1802.9512499999998,6.83,99,1015.0,1
99,2013.0,3.94,135635,985.05,0.0,0.99,101,995.0,1
100,2005.0,4.01,169560,3161.19625,1802.9512499999998,5.12,102,990.0,1
101,2011.0,4.01,176433,2195.2,1317.12,2.24,104,980.0,1
102,1959.0,3.99,136886,3161.19625,1802.9512499999998,7.5,105,975.0,1
103,2011.0,3.93,144533,960.3,0.0,0.99,106,970.0,1
104,1991.0,3.88,109692,3161.19625,1802.9512499999998,10.65,108,960.0,1
105,2011.0,4.3,188136,3161.19625,1802.9512499999998,7.99,108,960.0,1
106,1950.0,4.12,143236,1880.55,0.0,1.99,111,945.0,1
107,2010.0,3.64,120126,3161.19625,1802.9512499999998,4.99,112,940.0,1
108,1947.5,3.97,144497,3161.19625,1802.9512499999998,3.99,113,935.0,1
109,2002.0,3.72,131352,1850.7,0.0,1.99,114,930.0,1
110,1956.0,4.02,158701,3161.19625,1802.9512499999998,6.5,116,920.0,1
111,2007.0,4.23,128715,905.85,543.51,0.99,117,915.0,1
112,2008.0,3.9,180961,3161.19625,1802.9512499999998,8.48,117,915.0,1
113,2012.0,4.29,153882,900.9,0.0,0.99,118,910.0,1
114,2007.0,3.84,150003,895.95,537.57,0.99,119,905.0,1
115,1947.5,3.48,148480,891.0,0.0,0.99,120,900.0,0
116,2006.0,3.71,124371,3161.19625,1802.9512499999998,6.49,120,900.0,1
117,2011.0,4.08,146905,3161.19625,1802.9512499999998,11.99,121,895.0,1
118,2009.0,3.89,125195,2661.1,0.0,2.99,122,890.0,1
119,1947.5,3.83,137858,1771.1,1062.66,1.99,122,890.0,1
120,1947.5,3.97,141110,3161.19625,0.0,3.99,123,885.0,1
121,2006.0,4.02,163054,3161.19625,1802.9512499999998,7.5,126,870.0,1
122,1995.0,4.08,98738,3161.19625,0.0,3.99,127,865.0,1
123,2010.0,3.73,119213,3161.19625,1802.9512499999998,7.99,128,860.0,1
124,2011.0,3.52,100886,841.5,504.9,0.99,130,850.0,1
125,2006.0,3.82,150222,3161.19625,1802.9512499999998,11.99,131,845.0,1
126,2008.0,3.71,114531,3161.19625,1802.9512499999998,7.99,132,840.0,1
127,2001.0,3.78,117657,816.75,0.0,0.99,135,825.0,1
128,1995.0,3.81,128961,1641.75,985.05,1.99,135,825.0,1
129,1980.0,3.55,129811,3161.19625,1802.9512499999998,6.99,137,815.0,1
130,1972.0,4.22,146073,2421.9,0.0,2.99,138,810.0,1
131,1999.0,4.12,110651,3161.19625,1802.9512499999998,10.65,139,805.0,1
132,1980.0,4.07,137372,3161.19625,0.0,3.99,140,800.0,1
133,1958.0,3.89,129778,792.0,475.2,0.99,140,800.0,1
134,2010.0,4.04,126993,3161.19625,0.0,3.99,141,795.0,1
135,2005.0,4.0,137639,1572.1,943.26,1.99,142,790.0,1
136,2009.0,4.08,151721,3161.19625,1802.9512499999998,11.99,143,785.0,1
137,2014.0,3.78,108703,3112.2,0.0,3.99,144,780.0,1
138,1982.0,4.2,119930,3161.19625,1802.9512499999998,10.67,145,775.0,1
139,1979.0,3.9,132723,1512.4,907.44,1.99,148,760.0,1
140,1947.5,3.98,135514,3012.45,0.0,3.99,149,755.0,1
141,1947.5,4.16,138444,3161.19625,0.0,4.99,150,750.0,1
142,2013.0,4.26,113252,2992.5,0.0,3.99,150,750.0,1
143,2001.0,4.16,121398,3161.19625,1802.9512499999998,4.99,151,745.0,1
144,1980.0,3.85,142213,2952.6,1771.56,3.99,152,740.0,1
145,2013.0,4.19,141641,727.65,0.0,0.99,153,735.0,1
146,2009.0,4.27,109642,3161.19625,0.0,4.99,154,730.0,1
147,2014.0,3.98,115393,3161.19625,1802.9512499999998,7.51,155,725.0,1
148,1947.5,4.22,156726,712.8,0.0,0.99,156,720.0,1
149,1947.5,4.17,87445,702.9,0.0,0.99,158,710.0,1
150,1947.5,4.16,165127,697.95,418.77,0.99,159,705.0,1
151,2004.0,3.8,133683,3161.19625,1802.9512499999998,7.99,160,700.0,1
152,2001.0,4.02,116800,1353.2,811.92,1.99,164,680.0,1
153,2013.0,4.54,159774,668.25,400.95,0.99,165,675.0,1
154,2008.0,3.85,144606,3161.19625,1802.9512499999998,5.49,166,670.0,1
155,2003.0,3.98,118045,658.35,395.01,0.99,167,665.0,1
156,2005.0,4.06,130293,3161.19625,1802.9512499999998,11.84,168,660.0,1
157,2003.0,3.98,112167,648.45,0.0,0.99,169,655.0,1
158,2012.0,3.67,116053,3161.19625,1802.9512499999998,14.99,169,655.0,1
159,2006.0,3.69,110873,3161.19625,0.0,4.99,170,650.0,1
160,1999.0,4.31,131481,1943.5,0.0,2.99,170,650.0,1
161,2008.0,4.04,121966,3161.19625,0.0,4.99,171,645.0,1
162,1987.0,3.77,128244,3161.19625,1802.9512499999998,6.99,172,640.0,1
163,2008.0,3.7,124812,3161.19625,1802.9512499999998,8.99,174,630.0,1
164,2014.0,4.03,120008,608.85,0.0,0.99,177,615.0,1
165,1985.0,4.05,141299,603.9,362.34,0.99,178,610.0,1
166,2011.0,3.85,124837,1210.0,0.0,2.0,179,605.0,1
167,2008.0,4.0,110939,594.0,0.0,0.99,180,600.0,1
168,1947.5,3.86,121112,3161.19625,0.0,5.95,181,595.0,1
169,2005.0,3.88,124786,3161.19625,1802.9512499999998,5.99,181,595.0,1
170,1947.5,3.78,136327,1174.1,704.46,1.99,182,590.0,1
171,2009.0,3.81,92275,3161.19625,1802.9512499999998,8.89,183,585.0,1
172,1998.0,3.87,131004,569.25,0.0,0.99,185,575.0,1
173,1985.0,4.1,124876,1134.3,0.0,1.99,186,570.0,1
174,1984.0,3.66,130219,1659.45,0.0,2.99,189,555.0,1
175,1947.5,3.9,117108,3161.19625,1802.9512499999998,7.99,189,555.0,1
176,1994.0,3.95,129350,544.5,326.7,0.99,190,550.0,1
177,2003.0,3.69,102206,534.6,0.0,0.99,192,540.0,1
178,1953.0,4.19,105138,2154.6,0.0,3.99,192,540.0,1
179,2005.0,3.67,121373,1599.65,959.79,2.99,193,535.0,1
180,2007.0,4.18,143892,524.7,314.82,0.99,194,530.0,1
181,1996.0,4.34,123736,1024.85,614.91,1.99,197,515.0,1
182,2013.0,4.29,149702,1524.9,0.0,2.99,198,510.0,1
183,1947.5,3.89,135448,2014.95,1208.97,3.99,199,505.0,1
184,1949.0,3.49,132061,3161.19625,1802.9512499999998,10.91,201,498.0,0
185,2007.0,3.99,93479,1483.04,0.0,2.99,202,496.0,1
186,2012.0,4.51,119915,2950.91,1770.546,6.01,205,491.0,1
187,1947.5,3.86,124665,2445.1,1467.06,4.99,206,490.0,1
188,2005.0,4.02,106211,483.12,289.872,0.99,207,488.0,1
189,2002.0,4.21,120004,2605.92,1563.552,5.34,207,488.0,1
190,2013.0,4.17,118910,3161.19625,1802.9512499999998,10.91,210,483.0,1
191,1992.0,4.21,122524,2057.58,1234.548,4.26,210,483.0,1
192,2003.0,4.26,95213,476.19,0.0,0.99,211,481.0,1
193,2008.0,4.01,151095,475.2,285.12,0.99,212,480.0,1
194,1991.0,4.24,117483,1429.22,0.0,2.99,213,478.0,1
195,1997.0,4.18,120541,3161.19625,1802.9512499999998,10.99,213,478.0,1
196,1995.0,3.73,119911,1423.24,0.0,2.99,214,476.0,1
197,1967.0,4.19,125668,2375.24,1425.144,4.99,214,476.0,1
198,1989.0,4.21,122225,470.25,0.0,0.99,215,475.0,1
199,1947.5,3.41,133264,470.25,282.15,0.99,215,475.0,0
200,1971.0,4.14,124467,1399.32,0.0,2.99,219,468.0,1
201,2009.0,3.51,145874,461.34,0.0,0.99,220,466.0,1
202,1994.0,3.8,131945,1393.34,0.0,2.99,220,466.0,1
203,1976.0,4.42,118951,460.35,276.21,0.99,221,465.0,1
204,1988.0,4.36,113855,455.4,273.24,0.99,224,460.0,1
205,1952.0,3.84,123073,455.4,0.0,0.99,224,460.0,1
206,2007.0,4.14,116260,3161.19625,0.0,7.99,226,456.0,1
207,1971.0,4.13,135978,1815.45,1089.27,3.99,227,455.0,1
208,1982.0,4.34,105961,3161.19625,1802.9512499999998,10.99,227,455.0,1
209,1953.0,4.33,124320,3161.19625,1802.9512499999998,11.47,228,453.0,1
210,1998.0,3.29,113977,448.47,0.0,0.99,228,453.0,0
211,2012.0,4.24,81982,2250.49,1350.294,4.99,229,451.0,1
212,2002.0,4.26,118576,3161.19625,1802.9512499999998,10.65,230,450.0,1
213,1997.0,4.1,104549,3161.19625,1802.9512499999998,10.65,231,448.0,1
214,2012.0,3.9,118475,443.52,266.112,0.99,231,448.0,1
215,2006.0,4.3,118751,1324.57,794.742,2.99,234,443.0,1
216,1995.0,4.17,137047,3161.19625,1802.9512499999998,19.98,235,441.0,1
217,2009.0,4.01,145157,2175.64,1305.384,4.99,238,436.0,1
218,2013.0,4.26,109313,430.65,0.0,0.99,239,435.0,1
219,2011.0,4.23,164832,3161.19625,1802.9512499999998,11.99,240,433.0,1
220,1982.0,4.19,131562,2593.67,1556.202,5.99,240,433.0,1
221,2013.0,4.49,160485,426.69,256.014,0.99,241,431.0,1
222,2004.0,4.18,126864,425.7,255.42,0.99,242,430.0,1
223,2008.0,4.05,110597,3161.19625,1802.9512499999998,11.99,244,426.0,1
224,1987.0,4.22,128450,3161.19625,1802.9512499999998,8.97,244,426.0,1
225,2010.0,3.92,158063,420.75,252.45,0.99,245,425.0,1
226,1985.0,4.47,111498,1687.77,0.0,3.99,246,423.0,1
227,2003.0,4.05,122502,3161.19625,1802.9512499999998,10.65,248,420.0,1
228,2011.0,4.22,140599,413.82,248.292,0.99,249,418.0,1
229,1998.0,4.3,115521,411.84,0.0,0.99,250,416.0,1
230,2009.0,3.82,119105,2070.85,1242.51,4.99,251,415.0,1
231,1982.0,4.34,108338,2537.9,1522.74,6.19,254,410.0,1
232,1970.0,3.99,109944,1219.92,0.0,2.99,255,408.0,1
233,2009.0,3.9,119739,1685.04,1011.024,4.13,255,408.0,1
234,1965.0,4.29,124805,2025.94,1215.564,4.99,256,406.0,1
235,1989.0,4.3,122540,2251.8,1351.08,5.56,257,405.0,1
236,1999.0,4.2,111497,1007.5,604.5,2.5,258,403.0,1
237,2003.0,4.07,113718,3161.19625,1802.9512499999998,10.65,259,401.0,1
238,1947.5,4.5,109754,3161.19625,1802.9512499999998,7.99,261,398.0,1
239,1947.5,3.65,119933,392.04,235.224,0.99,262,396.0,1
240,2011.0,3.81,110481,392.04,235.224,0.99,262,396.0,1
241,1947.5,3.9,110274,387.09,232.254,0.99,265,391.0,1
242,1947.5,3.81,126318,2726.1,1635.66,6.99,266,390.0,1
243,2014.0,4.46,162069,1154.14,692.484,2.99,268,386.0,1
244,2010.0,4.14,106542,766.15,459.69,1.99,269,385.0,1
245,1997.0,3.79,102746,3060.17,1802.9512499999998,7.99,270,383.0,1
246,2001.0,3.62,101436,758.19,0.0,1.99,271,381.0,1
247,1947.5,3.97,119851,3013.71,1802.9512499999998,7.91,271,381.0,1
248,1996.0,4.34,99252,1136.2,681.72,2.99,272,380.0,1
249,1987.0,4.61,117788,1886.22,1131.732,4.99,273,378.0,1
250,2006.0,3.77,139168,1124.24,674.544,2.99,274,376.0,1
251,1947.5,3.63,125474,371.25,0.0,0.99,275,375.0,1
252,2009.0,3.93,138103,1871.25,1122.75,4.99,275,375.0,1
253,2006.0,4.09,102193,1488.27,0.0,3.99,276,373.0,1
254,1989.0,4.08,105317,1115.27,669.162,2.99,276,373.0,1
255,1996.0,4.33,111779,366.3,0.0,0.99,278,370.0,1
256,2010.0,3.98,102560,2775.0,1665.0,7.5,278,370.0,1
257,1993.0,4.07,59453,1100.32,660.192,2.99,279,368.0,1
258,1952.0,4.2,105595,1094.34,0.0,2.99,280,366.0,1
259,1997.0,4.12,97016,3161.19625,1802.9512499999998,11.99,280,366.0,1
260,2010.0,4.01,111239,3161.19625,1802.9512499999998,11.19,281,365.0,1
261,1947.5,4.31,116324,1811.37,0.0,4.99,282,363.0,1
262,1967.0,4.15,134537,1085.37,651.222,2.99,282,363.0,1
263,2013.0,4.1,95276,357.39,214.434,0.99,283,361.0,1
264,1998.0,3.79,101999,1079.39,647.634,2.99,283,361.0,1
265,2012.0,4.24,136761,3161.19625,1802.9512499999998,10.91,285,358.0,1
266,2008.0,4.15,106351,1064.44,638.664,2.99,286,356.0,1
267,1960.0,4.12,117582,706.45,423.87,1.99,287,355.0,1
268,1987.0,4.16,109595,1049.49,0.0,2.99,289,351.0,1
269,1947.5,4.07,107313,347.49,208.494,0.99,289,351.0,1
270,2009.0,3.88,98645,346.5,0.0,0.99,290,350.0,1
271,2010.0,3.7,106336,344.52,0.0,0.99,291,348.0,1
272,1999.0,4.23,118467,1031.55,618.93,2.99,293,345.0,1
273,1947.5,3.8,125178,1025.57,0.0,2.99,294,343.0,1
274,2010.0,3.98,120763,1019.59,0.0,2.99,295,341.0,1
275,1997.0,4.24,105026,1019.59,611.754,2.99,295,341.0,1
276,2013.0,3.46,109412,3161.19625,1802.9512499999998,11.39,296,340.0,0
277,2007.0,4.23,132159,1686.62,0.0,4.99,297,338.0,1
278,1947.5,4.16,108124,1676.64,0.0,4.99,298,336.0,1
279,2003.0,4.36,113881,666.65,399.99,1.99,299,335.0,1
280,2014.0,3.81,100936,2620.72,1572.432,7.99,303,328.0,1
281,2012.0,4.21,138871,2875.32,1725.192,8.82,304,326.0,1
282,2014.0,3.55,113805,1300.74,0.0,3.99,304,326.0,1
283,2008.0,3.96,127387,2759.25,1655.55,8.49,305,325.0,1
284,2005.0,4.12,100513,1611.77,967.062,4.99,306,323.0,1
285,2009.0,3.85,102936,2468.49,1481.094,7.69,307,321.0,1
286,1986.0,4.3,123945,950.82,0.0,2.99,309,318.0,1
287,2001.0,3.59,115855,1576.84,0.0,4.99,310,316.0,1
288,1947.5,3.79,108062,2044.35,1226.61,6.49,311,315.0,1
289,1989.0,4.1,105892,1874.87,1124.922,5.99,312,313.0,1
290,2010.0,3.91,103915,307.89,184.734,0.99,313,311.0,1
291,2011.0,3.7,94968,306.9,0.0,0.99,314,310.0,1
292,1982.0,3.82,116026,616.9,370.14,1.99,314,310.0,1
293,1947.5,3.67,119496,2460.92,1476.552,7.99,315,308.0,1
294,2009.0,3.87,106729,2152.92,1291.752,6.99,315,308.0,1
295,1947.5,3.98,124612,3161.19625,1802.9512499999998,33.86,317,305.0,1
296,2014.0,4.11,136938,598.99,0.0,1.99,319,301.0,1
297,2000.0,4.23,117103,1487.02,892.212,4.99,321,298.0,1
298,1947.5,3.91,109994,891.02,0.0,2.99,321,298.0,1
299,2010.0,3.86,136736,1181.04,0.0,3.99,322,296.0,1
300,2008.0,4.01,120475,885.04,531.024,2.99,322,296.0,1
301,1995.0,4.13,78028,1772.95,1063.77,6.01,323,295.0,1
302,1994.0,3.76,102715,292.05,0.0,0.99,323,295.0,1
303,2008.0,4.03,138118,290.07,0.0,0.99,324,293.0,1
304,1999.0,4.35,104633,288.09,172.854,0.99,325,291.0,1
305,2012.0,3.89,94012,3161.19625,1802.9512499999998,12.74,326,290.0,1
306,2012.0,3.99,121863,1149.12,689.472,3.99,327,288.0,1
307,1991.0,3.77,104467,1707.15,1024.29,5.99,329,285.0,1
308,1947.5,3.78,115621,427.5,0.0,1.5,329,285.0,1
309,1975.0,4.37,104339,2071.56,1242.936,7.32,330,283.0,1
310,2006.0,4.45,134249,1412.17,847.302,4.99,330,283.0,1
311,2015.0,4.29,167848,3161.19625,1802.9512499999998,12.99,331,281.0,1
312,2012.0,4.13,76876,1387.22,0.0,4.99,333,278.0,1
313,1989.0,4.21,105192,1097.25,658.35,3.99,335,275.0,1
314,2009.0,4.19,98628,2618.07,1570.842,9.59,336,273.0,1
315,1950.0,4.26,116197,267.3,0.0,0.99,338,270.0,1
316,1996.0,3.84,102733,267.3,0.0,0.99,338,270.0,1
317,2001.0,3.98,99926,263.34,0.0,0.99,340,266.0,1
318,1999.0,3.74,112733,997.5,0.0,3.75,340,266.0,1
319,2012.0,3.75,110552,1719.85,1031.91,6.49,341,265.0,1
320,1979.0,3.79,109063,1877.82,1126.692,7.14,342,263.0,1
321,2016.0,4.32,116771,1041.39,0.0,3.99,343,261.0,1
322,1990.0,3.86,99831,777.4,0.0,2.99,344,260.0,1
323,1999.0,4.0,54937,771.42,462.852,2.99,345,258.0,1
324,1947.5,3.97,119607,1527.45,916.47,5.99,347,255.0,1
325,2000.0,3.8,114917,997.5,0.0,3.99,350,250.0,1
326,1978.0,4.03,117108,997.5,598.5,3.99,350,250.0,1
327,2014.0,4.26,104939,246.51,147.906,0.99,351,249.0,1
328,2008.0,4.15,109236,744.51,446.706,2.99,351,249.0,1
329,1988.0,3.94,105032,1635.93,981.558,6.57,352,249.0,1
330,2013.0,4.23,134022,3161.19625,0.0,12.99,353,248.0,1
331,2014.0,4.77,73572,741.52,444.912,2.99,354,248.0,1
332,1988.0,4.36,104690,738.53,0.0,2.99,355,247.0,1
333,2001.0,4.26,103552,1141.14,684.684,4.62,356,247.0,1
334,1978.0,3.96,104248,244.53,146.718,0.99,356,247.0,1
335,1974.0,3.96,102574,1227.54,736.524,4.99,357,246.0,1
336,2005.0,3.91,98379,977.55,0.0,3.99,359,245.0,1
337,1947.5,4.11,123065,977.55,586.53,3.99,360,245.0,1
338,2006.0,3.73,101669,1698.57,1019.142,6.99,363,243.0,1
339,2005.0,4.3,102923,726.57,435.942,2.99,364,243.0,1
340,2010.0,3.88,127379,1494.45,896.67,6.15,364,243.0,1
